"pais","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Eslovenia",42.5776252629674,43.3250419439226,44.8174234032428,43.3548204973057,53.7344001362011,44.560181974461,43.0460161746483,41.2840200976064,38.9458037812909,37.8701518119254,NA
"España",21.6435071535916,19.9789504889024,19.8377834160429,25.8762737622672,22.7811491765554,21.9217406637356,20.6039402741302,19.7926991309344,18.8255565558518,19.0630788899952,NA
"Estonia",40.5141900743161,37.5682427283907,34.3967554115276,33.8650988725269,34.0049732805383,33.6650323826977,35.8922280421023,36.3383082810312,35.1020428557846,35.4111679993289,NA
"Finlandia",38.2234644863464,38.3830384335319,37.8832109415247,38.8973174092331,40.0898586048424,40.5525454694848,40.3993078537794,39.5587721395597,37.9586775029342,37.1908228941408,NA
"Francia",48.0210057518454,49.3240362674279,47.5857458016517,48.0719239335045,48.119369598085,48.2894176805372,47.9919779188076,47.7862289957294,47.5673216813656,47.1213170766949,NA
"Georgia",30.9423996441677,25.0508670308318,23.262175856696,24.3927969354288,22.8923163011926,24.0312169669163,24.040076617062,24.3939055698181,22.9924169011597,21.3987663483508,NA
"Grecia",51.2654638717754,50.5270401153278,53.843696845896,55.2525317920032,59.9006025300493,48.5456784390211,51.0322909973464,47.7613353070983,46.8023114986132,46.5504416828908,NA
"Hungría",45.1062473335363,43.8723746395845,45.247269497574,44.8198917565316,47.0276979842443,45.2052681563658,43.4926640562464,43.8831892670696,42.3239823483945,40.4413338816771,NA
"Irlanda",43.8900876210576,62.2295236928424,43.9536805726715,39.4763497871728,37.8806211900227,34.864657647979,27.0533483025562,25.6676462640702,24.2230529250344,23.2829995160592,NA
"Islandia",34.5957490629453,36.7963770755112,34.1811302975978,33.349102114017,31.4503440226943,31.9256920416497,29.9997382195046,33.399460713432,30.1630417126737,29.3365889634587,NA
"Italia",43.9933050813124,42.7653329397744,42.0243555777029,43.338395638845,43.7858583651429,43.6733165966739,43.7228268256658,43.2684762667581,42.8054376080919,42.5612264584535,NA
"Letonia",52.6282401820671,55.4975662201996,47.3439325495583,44.2056215016989,43.6240093221687,44.1783317837724,43.4691446431076,42.5135373176254,42.9324855585218,42.4119866151227,NA
"Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lituania",41.7504620088335,39.6429099860958,39.6252705008336,33.9623934404584,33.1188830803217,32.6929256489023,32.7856124443088,32.6270533111676,31.094198858228,32.2747666057014,NA
"Luxemburgo",41.1290360311654,39.927462948953,38.9036226545215,41.0392909246319,40.887361084707,39.3599205981089,38.3360707664423,37.3492426709399,38.2291853001356,38.4325670412719,NA
"Macedonia del Norte",31.3393886479733,30.0860286853756,28.9817013007717,29.3726417014675,28.2476496069864,28.3672213651207,28.7946070150674,27.7831376744929,28.0650845942264,27.8690856744125,NA
"Malta",41.5916006907112,40.6461701644064,40.312747489219,41.0639888260298,40.7629123960163,39.1639259426379,36.9193412184232,35.5957835199628,35.0106358289239,35.2612052425316,NA
"República de Moldova",38.0409977507291,29.1436567220836,27.3599578458902,27.8544261925065,27.1282702406459,29.0335822529712,28.5218258902923,26.3752852633422,26.8030307765128,27.3190269944416,NA
"Mónaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Noruega",35.5763541077735,34.9109909823695,34.3526279208918,33.9455131200421,34.4060869542567,35.8439563756402,38.3843945424998,39.9680066930308,39.0201500159921,37.7030241924064,NA
"Países Bajos",41.3686980068561,41.5654573700654,41.0753137882308,41.2992406955339,41.4141291790759,40.9513669664661,39.9438847085831,38.9886452352482,37.7975359888152,37.5871241629944,NA
"Polonia",36.5916828935555,36.5906546608381,34.722406600869,34.8568360004296,35.4485951131484,34.8116808007301,34.2582820157025,34.8052132273608,34.3412630171014,33.5691140777273,NA
"Portugal",43.6779216989797,43.9559003304585,44.2709262542682,44.1980204481795,45.3738022572742,47.4354280025151,43.7563701164476,41.0864157077193,41.4204080782778,39.2870534301386,NA
